,Unnamed: 0,Tienda,Categoría,Socket,Generación,Capacidad,Título,Stock,Precio,URL
30,30,Sercoplus,MB,AM4,AM4,-,MAINBOARD ASUS PRIME B550M-K AM4 AMD, 20 ,"(S/ 428,64)",https://www.sercoplus.com/socket-amd-am4/11268-mainboard-asus-prime-b550m-k-am4-amd.html
31,31,Sercoplus,MB,AM4,AM4,-,"MAINBOARD MSI A320M PRO-VH, AM4 AMD", 1 ,"(S/ 225,60)",https://www.sercoplus.com/socket-amd-am4/12776-mainboard-msi-a320m-pro-vh-am4-amd.html
32,32,Sercoplus,MB,AM4,AM4,-,MAINBOARD ASUS ROG STRIX X470-F GAMING, 8 ,"(S/ 571,52)",https://www.sercoplus.com/socket-amd-am4/8510-mainboard-asus-rog-strix-x470-f-gaming.html
33,33,Sercoplus,MB,AM4,AM4,-,MAINBOARD MSI B450M PRO-M2 MAX AM4 AMD, 1 ,"(S/ 315,84)",https://www.sercoplus.com/socket-amd-am4/11276-mainboard-msi-b450m-pro-m2-max-am4-amd.html
34,34,Sercoplus,MB,AM4,AM4,-,MAINBOARD ASUS ROG STRIX B550-XE GAMING, 9 ,"(S/ 1.428,80)",https://www.sercoplus.com/socket-amd-am4/13269-mainboard-asus-rog-strix-b550-xe-gaming.html
35,35,Sercoplus,MB,AM4,AM4,-,MAINBOARD GIGABYTE B450M DS3H AM4 AMD, >20 ,"(S/ 300,80)",https://www.sercoplus.com/socket-amd-am4/8534-mainboard-gigabyte-b450m-ds3h-am4-amd.html
36,36,Sercoplus,MB,AM4,AM4,-,"MAINBOARD MSI MPG Z690 CARBON WIFI, DDR5, LGA 1700", 1 ,"(S/ 1.797,28)",https://www.sercoplus.com/socket-amd-am4/13481-mainboard-msi-mpg-z690-carbon-wifi-ddr5.html
37,37,Sercoplus,MB,AM4,AM4,-,MAINBOARD GIGABYTE X570 UD AM4 AMD, 10 ,"(S/ 654,24)",https://www.sercoplus.com/socket-amd-am4/10550-mainboard-gigabyte-x570-ud-am4-amd.html
38,38,Sercoplus,MB,AM4,AM4,-,"MAINBOARD GIGABYTE B550 VISION D, WI-FI AM4 AMD", 14 ,"(S/ 1.316,00)",https://www.sercoplus.com/socket-amd-am4/11334-mainboard-gigabyte-b550-vision-d-wi-fi.html
39,39,Sercoplus,MB,AM4,AM4,-,"MAINBOARD GIGABYTE A520M AORUS ELITE, AMD, AM4", 6 ,"(S/ 359,46)",https://www.sercoplus.com/socket-amd-am4/13486-mainboard-gigabyte-a520m-aorus-elite-am.html
40,40,Sercoplus,MB,AM4,AM4,-,MAINBOARD ASROCK B450M PRO4-F AM4 AMD, >20 ,"(S/ 323,36)",https://www.sercoplus.com/socket-amd-am4/10862-mainboard-asrock-b450-pro4-f-am4-amd-ddr4-sata-usb-3-1-90-mxbab0-a0uayz.html
41,41,Sercoplus,MB,AM4,AM4,-,MAINBOARD ASUS PRIME B450M-A-II AM4 AMD, 11 ,"(S/ 338,40)",https://www.sercoplus.com/socket-amd-am4/11609-mainboard-asus-prime-b450m-a-ii-am4-amd.html
42,42,Sercoplus,MB,AM4,AM4,-,"MAINBOARD ASUS TUF X470-PLUS GAMING, AM4, AMD", 4 ,"(S/ 533,92)",https://www.sercoplus.com/socket-amd-am4/13505-mainboard-asus-tuf-x470-plus-gaming-am4.html
43,43,Sercoplus,MB,AM4,AM4,-,MAINBOARD B450 TOMAHAWK MAX AM4 AMD, 19 ,"(S/ 511,36)",https://www.sercoplus.com/mainboard-amd/11280-mainboard-b450-tomahawk-max-am4-amd.html
0,0,Sercoplus,CPU,LGA1200-10,I5,-,PROCESADOR INTEL CORE I5-10400F, >20 ,"(S/ 564,00)",https://www.sercoplus.com/cpu-1200-10ma-generacion/10848-procesador-intel-core-i5-10400f.html
